,Average waiting time,queue length,steps,volume
0,0.0,0,0,0
1,0.0,0,25,0
2,0.0,4,50,1
3,0.0,7,75,1
4,0.0,12,100,0
5,0.0,10,125,0
6,85.66666666666667,15,150,3
7,0.0,16,175,2
8,0.0,12,200,0
9,0.0,18,225,1
10,0.0,24,250,0
11,0.0,17,275,1
12,0.0,21,300,0
13,114.0,23,325,2
14,33.0,25,350,1
15,0.0,14,375,0
16,97.0,22,400,2
17,143.66666666666666,22,425,3
18,19.0,15,450,3
19,83.5,24,475,2
20,0.0,20,500,0
21,53.5,15,525,2
22,0.0,13,550,0
23,22.0,7,575,1
24,0.0,8,600,2
25,8.0,10,625,2
26,29.0,13,650,3
27,0.0,17,675,0
28,21.0,22,700,1
29,0.0,22,725,1
30,0.0,20,750,0
31,77.0,26,775,1
32,0.0,25,800,0
33,0.0,21,825,0
34,65.0,14,850,1
35,62.0,21,875,1
36,0.0,19,900,0
37,0.0,17,925,1
38,0.0,24,950,0
39,322.0,27,975,1
40,0.0,20,1000,1
41,99.0,22,1025,1
42,10.5,14,1050,2
43,0.0,20,1075,0
44,152.0,19,1100,1
45,0.0,14,1125,0
46,0.0,18,1150,0
47,0.0,18,1175,0
48,0.0,19,1200,0
49,0.0,13,1225,1
50,11.0,16,1250,1
51,42.333333333333336,17,1275,3
52,17.0,14,1300,1
53,0.0,14,1325,0
54,0.0,16,1350,0
55,39.0,15,1375,1
56,12.0,23,1400,2
57,0.0,23,1425,0
58,0.0,23,1450,0
59,0.0,27,1475,0
60,0.0,21,1500,0
61,0.0,17,1525,1
62,153.33333333333334,25,1550,3
63,0.0,23,1575,0
64,0.0,18,1600,0
65,0.0,21,1625,0
66,74.0,23,1650,1
67,28.0,22,1675,2
68,239.0,30,1700,1
69,0.0,21,1725,0
70,58.0,13,1750,1
71,24.0,20,1775,1
72,163.0,14,1800,1
73,35.0,11,1825,1
74,40.0,13,1850,1
75,0.0,22,1875,0
76,98.0,23,1900,3
77,0.0,23,1925,1
78,7.333333333333333,15,1950,3
79,0.0,21,1975,0
80,80.33333333333333,19,2000,3
81,0.0,17,2025,0
82,0.0,14,2050,0
83,185.0,12,2075,1
84,0.0,14,2100,0
85,3.5,14,2125,2
86,25.5,14,2150,2
87,0.0,13,2175,0
88,50.666666666666664,16,2200,3
89,86.0,15,2225,2
90,0.0,17,2250,0
91,40.5,17,2275,2
92,41.5,18,2300,2
93,0.0,21,2325,1
94,44.0,23,2350,3
95,121.0,36,2375,1
96,0.0,35,2400,0
97,0.0,20,2425,1
98,0.0,23,2450,0
99,0.0,22,2475,0
100,11.5,26,2500,2
101,0.0,25,2525,0
102,0.0,18,2550,0
103,7.5,14,2575,2
104,0.0,14,2600,0
105,0.0,15,2625,0
106,0.0,21,2650,0
107,94.0,22,2675,1
108,151.0,35,2700,1
109,0.0,22,2725,1
110,0.0,32,2750,1
111,0.0,28,2775,0
112,148.0,27,2800,2
113,0.0,22,2825,0
114,227.0,24,2850,1
115,74.0,12,2875,2
116,62.0,19,2900,1
117,29.0,25,2925,1
118,104.0,23,2950,1
119,83.0,15,2975,3
120,25.0,23,3000,1
121,0.0,15,3025,0
122,75.5,22,3050,2
123,0.0,19,3075,1
124,89.0,19,3100,1
125,0.0,21,3125,1
126,161.66666666666666,26,3150,3
127,424.0,26,3175,1
128,362.0,25,3200,1
129,0.0,19,3225,0
130,0.0,13,3250,0
131,0.0,4,3275,0
132,0.0,1,3300,0
133,0.0,0,3325,0
134,0.0,0,3350,0
